ilist,State,Longitude,Latitude
0,Andaman and Nicobar Islands,92.88957895607237,11.942373315646947
1,Andhra Pradesh,79.74,15.9129
2,Arunachal Pradesh,94.54532681056138,27.72576541518621
3,Assam,92.65731035572504,26.321340891915746
4,Bihar,85.6367740131486,25.771393543753963
5,Chandigarh,76.75872466,30.7426
6,Chhattisgarh,82.12509333594426,21.55573858298405
7,Dadra and Nagar Haveli,73.09454961,20.21513217
8,Daman and Diu,72.41121190648654,20.494569789560284
9,Delhi,77.12804518,28.645944300000004
10,Goa,73.86601625846721,15.393504042993381
11,Gujarat,72.19574738883901,22.37440584958047
12,Haryana,76.52123742961845,29.195616276383877
13,Himachal Pradesh,76.85561813540754,31.6494688754927
14,Jammu and Kashmir,75.00063061643165,33.651699000229414
15,Jharkhand,85.85996246441698,23.76750554674568
16,Karnataka,76.29962467945006,14.369817089467844
17,Kerala,76.21770621006371,10.32670635609908
18,Ladakh,77.577049,34.152588
19,Lakshadweep,72.82992744,10.43639053
20,Madhya Pradesh,78.08249213292959,23.635605202612826
21,Maharashtra,75.270554473907,19.392515612925344
22,Manipur,93.86449349532845,24.73897489366553
23,Meghalaya,91.2375106953515,25.480367364765506
24,Mizoram,92.81661900620364,23.458356591057033
25,Nagaland,94.32575260288996,26.061857076197462
26,Odisha,84.98396583642706,20.52959735874132
27,Puducherry,79.7599736336565,11.944312931975508
28,Punjab,75.45295225690501,30.912061491816512
29,Rajasthan,75.22539475422067,26.493281966067013
30,Sikkim,88.51230521984732,27.33767979635073
31,Tamil Nadu,78.76274652265822,11.159711328934925
32,Telangana,79.0193,18.1124
33,Tripura,91.65871313943329,23.709304849812497
34,Uttar Pradesh,80.65919244361825,27.069163431915623
35,Uttarakhand,78.84563219146264,29.91025594085585
36,West Bengal,88.14959609251514,23.421343178895288
